ID,カテゴリ,発言者/種別,項目内容,詳細文脈・理由,関連放送回,タイムスタンプ
M192,名言,田代智一,もっともらしい説明を真に受けない方がいい,第621回の放送で、田代さんのたっちメモに書いてあった名言。,第621回,2025/11/30 6:19:44
M193,名言,田淵智也,恐れはあるけど、蓋明ければなんとかなるんじゃないの,第625回の放送で、小学生から中学生になるのに不安というリスナーからのメールに仰られていた名言,第625回,2025/12/12 8:53:01
M194,名言,田淵智也,世の中の不条理や怒りは全てウケるに変換できる,第625回の放送で、小学生から中学生になるのに不安を抱えているリスナーからのメールに仰られていた名言,第625回,2025/12/12 8:54:27
M195,名言,田淵智也,学んどいて損はない,第107回放送で、詰め込み教育の話題になっているときに微分積分や歴史の年号を学ぶのに意味がないということにたいして仰られていた名言,第107回,2025/12/14 6:49:38
M196,名言,田代智一,突き詰めると運だよね,第113回の放送で、実写化作品のできばえについて仰られていた名言,第113回,2025/12/14 7:23:55
M197,名言,田淵智也,嫌がる人もいるよね,第113回の放送で、アイドルのライブで撮影OKにしている界隈の話題で仰られていた名言,第113回,2025/12/14 7:25:40
M198,名言,田淵智也,ボロクソに褒めてください,第113回の放送で、閉塞感を打破できた感想が欲しいと仰られていた名言,第113回,2025/12/14 7:27:32
M199,名言,田淵智也,俺らの気づかないところで見えない力が働いてる,第119回の放送で、漢字の書き順が昔と違っているのではないかという話題で仰られていた名言,第119回,2025/12/14 8:56:18
M200,名言,田淵智也,お前それ電話だぞ,第119回の放送で、スマホのアプリをたくさん入れている人に対して仰られていた名言,第119回,2025/12/14 8:57:34
M201,名言,田淵智也,宗教上の理由でGPS使えない,第119回の放送で、Googleマップの現在位置が使えない時に仰られていた名言。コンパスのアプリは入れている。,第119回,2025/12/14 8:59:27
M202,名言,田淵智也,俺が最初に目を付けてたのに現象ね,第119回の放送で、デラさんがLINEアプリを流行る前から使用していたという発言に仰られていた名言。,第119回,2025/12/14 9:01:29
M203,名言,田代智一,なんなのみんなストーカー？,第121回の放送で、田代さんのツイートに田淵さんが載っていたらたくさんリツイートされたという話題から仰られていた名言,第121回,2025/12/14 9:40:09
M204,名言,田代智一,田淵さんに友達いるよ。田代さんが友達だよ。,第121回の放送で、田代さんのツイートに田淵さんが写っている画像をアップしたらたくさんリツイートされた話題で、みんながリツイートすることで田淵さんに田代さんが友達なんだよということを伝えているということを仰られていた名言。,第121回,2025/12/14 9:43:11
M205,名言,田淵智也,私のポテンシャルを過小評価しすぎじゃない？,第121回の放送で、飲み会の途中で寝てしまうのは小休止。サッカーで言うところのハーフタイムだと仰られていた時に出た名言。,第121回,2025/12/14 9:45:04
M206,名言,田淵智也,生涯で一番忙しい1ヶ月,第121回目の放送で、なんども言っていると前置きしたうえで一番忙しい時期が終わった時に仰られていた名言。,第121回,2025/12/14 9:46:54
